,mean_h,std_h,norm_std_h,mean_w,std_w,norm_std_w,mean_a,std_a,norm_std_a,mAP_slice,mAP_no_slice
WLAN_WAC_1,113.59674734280958,53.24745350994046,0.46874100496250615,103.29600461006531,200.515260351367,1.9411715013402224,11844.648674606224,25572.905576715508,2.159026095180124,0.737,0.472
WLAN_WAC_3,112.88155468692382,54.033523141674806,0.4786745123376126,59.02732502396932,103.31978519154876,1.7503721395064664,6461.115937753521,12745.532916620949,1.9726519442479573,0.82,0.534
WLAN_WAC_7,112.39868562855271,54.7707219311538,0.48728970116391074,33.09321048961393,45.53294566531411,1.3758999200033584,3544.8355979122202,5378.573576028699,1.5172984550246797,0.917,0.687
WLAN_WN_0,72.17388706304153,46.81952989380373,0.6487045633680282,477.0737974305348,332.8916888432436,0.6977781857569214,35118.786077083954,33831.790907974326,0.9633530849760941,0.711,0.796
WLAN_WN_1,76.10509838998212,48.251483055908835,0.6340111776566638,58.961794019933556,93.95566811503541,1.593500836885514,4172.64164324048,8209.045091489013,1.9673496536150792,0.8,0.549
WLAN_WN_2,68.85665625887029,47.7737683155909,0.6938148163335561,224.87539029236447,111.07343966731294,0.4939332824410194,15284.426625035481,12926.173254883692,0.8457087447239249,0.498,0.674
WLAN_WN_3,77.5948954351248,48.329173869003554,0.6228396030175773,36.422869350123676,49.205411241651824,1.3509482399273067,2576.8364065662245,4145.33743894377,1.6086925147365716,0.874,0.472
WLAN_WN_7,79.3944378581308,48.57066796715704,0.6117641144326449,22.53220707370085,22.101933851312392,0.9809040800583329,1671.8930547322664,2000.7170908230407,1.1966776733476123,0.914,0.537
WLAN_WBG_0,70.82121138409146,46.88805218865007,0.6620622730435605,283.8367793724155,310.1725630215029,1.0927849579864803,20871.358793480904,29121.895799419686,1.395304258221837,0.633,0.719
WLAN_WBG_1,70.39110155595233,47.31112772807079,0.672118018929768,82.11197755347447,91.41632670783524,1.1133129347457429,5717.635389716867,8440.781765225698,1.4762714286410066,0.425,0.421
WLAN_WBG_2,74.09484477356878,47.00779900344477,0.6344273902873936,535.3622899458844,362.821615327776,0.6777123120951436,40400.16006835659,38124.47627378557,0.9436714163824947,0.583,0.747
WLAN_WBG_3,70.60732443900761,47.209080072066264,0.6686144879041077,101.36924194349938,126.82823772487505,1.251151091724311,7080.43694330823,11218.859596922865,1.5844869019737384,0.403,0.395
WLAN_WBG_7,69.62486146207385,47.045141366528696,0.6756945777501502,63.23527064769251,41.03669784568081,0.6489526719085572,4294.9801835350445,4181.016927089198,0.9734659412672664,0.296,0.316
BT_classic_ADH5,4.181276249830646,2.1393668610333325,0.5116540341289296,30.385855575125323,27.63849354891459,0.9095841807245408,120.30226256604796,123.40934849940714,1.02582732749231,0.58,0.376
BT_classic_AEDH5,4.06204844878878,2.1678902642221205,0.5336938472185238,70.15313783822072,117.56406491487161,1.675820476996833,261.55461113472165,482.42374216202944,1.8444474753058069,0.461,0.246
BLE_2MHz_DATA,8.51625480190356,4.144118481780603,0.48661278674450953,45.953156355713546,59.09432803582662,1.2859688587741411,360.4499168625652,488.22963996069063,1.3545006313508074,0.878,0.724
BLE_1MHz_DATA,3.8831524979134375,2.1085351588467556,0.5429957128852781,144.31966138070823,182.27073684657572,1.2629653860242536,525.6462382258256,754.0446364662678,1.4345097170510306,0.467,0.312
BLE_1MHz_AIND,4.0160442600276625,2.1410596754259394,0.5331265137529116,51.89681881051175,26.408965465343947,0.5088744564819989,202.28492392807746,141.39339646733674,0.6989813858674374,0.58,0.433
